AERONET Version 3; 
Waskesiu
Version 3: AOD Level 1.0
The following data are unscreened and may not have final calibration applied.
Contact: PI=Ihab_Abboud_and_Vitali_Fioletov; PI Email=ihab.abboud@canada.ca_and_vitali.fioletov@canada.ca
All Points,UNITS can be found at,,, https://aeronet.gsfc.nasa.gov/new_web/units.html
Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,Triplet_Variability_1640,Triplet_Variability_1020,Triplet_Variability_870,Triplet_Variability_865,Triplet_Variability_779,Triplet_Variability_675,Triplet_Variability_667,Triplet_Variability_620,Triplet_Variability_560,Triplet_Variability_555,Triplet_Variability_551,Triplet_Variability_532,Triplet_Variability_531,Triplet_Variability_510,Triplet_Variability_500,Triplet_Variability_490,Triplet_Variability_443,Triplet_Variability_440,Triplet_Variability_412,Triplet_Variability_400,Triplet_Variability_380,Triplet_Variability_340,Triplet_Variability_Precipitable_Water(cm),Triplet_Variability_681,Triplet_Variability_709,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),Solar_Zenith_Angle(Degrees),Optical_Air_Mass,Sensor_Temperature(Degrees_C),Ozone(Dobson),NO2(Dobson),Last_Date_Processed,Number_of_Wavelengths,Exact_Wavelengths_of_AOD(um)_1640nm,Exact_Wavelengths_of_AOD(um)_1020nm,Exact_Wavelengths_of_AOD(um)_870nm,Exact_Wavelengths_of_AOD(um)_865nm,Exact_Wavelengths_of_AOD(um)_779nm,Exact_Wavelengths_of_AOD(um)_675nm,Exact_Wavelengths_of_AOD(um)_667nm,Exact_Wavelengths_of_AOD(um)_620nm,Exact_Wavelengths_of_AOD(um)_560nm,Exact_Wavelengths_of_AOD(um)_555nm,Exact_Wavelengths_of_AOD(um)_551nm,Exact_Wavelengths_of_AOD(um)_532nm,Exact_Wavelengths_of_AOD(um)_531nm,Exact_Wavelengths_of_AOD(um)_510nm,Exact_Wavelengths_of_AOD(um)_500nm,Exact_Wavelengths_of_AOD(um)_490nm,Exact_Wavelengths_of_AOD(um)_443nm,Exact_Wavelengths_of_AOD(um)_440nm,Exact_Wavelengths_of_AOD(um)_412nm,Exact_Wavelengths_of_AOD(um)_400nm,Exact_Wavelengths_of_AOD(um)_380nm,Exact_Wavelengths_of_AOD(um)_340nm,Exact_Wavelengths_of_PW(um)_935nm,Exact_Wavelengths_of_AOD(um)_681nm,Exact_Wavelengths_of_AOD(um)_709nm,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty
05:01:2020,15:57:59,5,5.665266,0.014726,0.026648,0.030669,-999.000000,-999.000000,0.039078,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.056175,-999.000000,-999.000000,0.057991,-999.000000,-999.000000,0.064083,-999.000000,0.303890,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.004560,0.004691,0.003890,-999.000000,-999.000000,0.003758,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.003571,-999.000000,-999.000000,0.004198,-999.000000,-999.000000,0.004637,-999.000000,0.014303,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.986993,0.484037,0.972267,1.094636,0.683183,-999.000000,lev10,17,Waskesiu,53.914386,-106.069578,569.000000,86.684874,14.130753,-12.500000,353.597636,0.084097,09:01:2020,8,1.637100,1.019800,0.870500,-999.,-999.,0.674800,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439600,-999.,-999.,0.379800,-999.,0.941200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
05:01:2020,16:03:56,5,5.669398,0.007515,0.019000,0.023132,-999.000000,-999.000000,0.031851,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.049943,-999.000000,-999.000000,0.051571,-999.000000,-999.000000,0.059587,-999.000000,0.303859,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001502,0.002126,0.001858,-999.000000,-999.000000,0.002015,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001867,-999.000000,-999.000000,0.001688,-999.000000,-999.000000,0.001313,-999.000000,0.006868,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.241071,0.650419,1.190923,1.390956,0.988026,-999.000000,lev10,17,Waskesiu,53.914386,-106.069578,569.000000,86.117280,12.583320,-12.200000,353.599810,0.084097,09:01:2020,8,1.637100,1.019800,0.870500,-999.,-999.,0.674800,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439600,-999.,-999.,0.379800,-999.,0.941200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
05:01:2020,16:09:56,5,5.673565,0.007264,0.018732,0.023117,-999.000000,-999.000000,0.032269,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.051641,-999.000000,-999.000000,0.052865,-999.000000,-999.000000,0.061227,-999.000000,0.308661,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000437,0.001459,0.001500,-999.000000,-999.000000,0.001418,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001969,-999.000000,-999.000000,0.001188,-999.000000,-999.000000,0.002089,-999.000000,0.005450,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.285132,0.628486,1.225512,1.452547,1.004283,-999.000000,lev10,17,Waskesiu,53.914386,-106.069578,569.000000,85.553707,11.329086,-12.000000,353.602002,0.084097,09:01:2020,8,1.637100,1.019800,0.870500,-999.,-999.,0.674800,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439600,-999.,-999.,0.379800,-999.,0.941200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
05:01:2020,16:21:51,5,5.681840,0.008260,0.019501,0.024134,-999.000000,-999.000000,0.033345,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.053633,-999.000000,-999.000000,0.053578,-999.000000,-999.000000,0.061975,0.053334,0.299024,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000376,0.001678,0.001907,-999.000000,-999.000000,0.001721,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.002549,-999.000000,-999.000000,0.001378,-999.000000,-999.000000,0.001061,0.008277,0.003979,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.253496,0.536842,1.191228,1.443927,0.039979,-999.000000,lev10,17,Waskesiu,53.914386,-106.069578,569.000000,84.467307,9.473055,-11.500000,353.606356,0.084098,09:01:2020,9,1.637100,1.019800,0.870500,-999.,-999.,0.674800,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439600,-999.,-999.,0.379800,0.340900,0.941200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
05:01:2020,16:25:36,5,5.684444,0.008834,0.019817,0.024591,-999.000000,-999.000000,0.033828,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.054189,-999.000000,-999.000000,0.053929,-999.000000,-999.000000,0.061698,0.057538,0.294370,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000338,0.001100,0.001129,-999.000000,-999.000000,0.000949,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001082,-999.000000,-999.000000,0.000669,-999.000000,-999.000000,0.000422,0.005662,0.002313,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.236535,0.482499,1.173777,1.428806,0.292765,-999.000000,lev10,17,Waskesiu,53.914386,-106.069578,569.000000,84.135719,9.016367,-11.200000,353.607726,0.084098,09:01:2020,9,1.637100,1.019800,0.870500,-999.,-999.,0.674800,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439600,-999.,-999.,0.379800,0.340900,0.941200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
05:01:2020,16:40:06,5,5.694514,0.009907,0.021072,0.026250,-999.000000,-999.000000,0.035815,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.057948,-999.000000,-999.000000,0.056552,-999.000000,-999.000000,0.064524,0.060472,0.284490,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000620,0.000285,0.000424,-999.000000,-999.000000,0.000552,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000917,-999.000000,-999.000000,0.000844,-999.000000,-999.000000,0.001458,0.002583,0.003783,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.221552,0.402878,1.161244,1.432871,0.300063,-999.000000,lev10,17,Waskesiu,53.914386,-106.069578,569.000000,82.905479,7.636564,-11.000000,353.613024,0.084099,09:01:2020,9,1.637100,1.019800,0.870500,-999.,-999.,0.674800,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439600,-999.,-999.,0.379800,0.340900,0.941200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
05:01:2020,16:43:06,5,5.696597,0.009489,0.020677,0.025910,-999.000000,-999.000000,0.035461,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.057907,-999.000000,-999.000000,0.056229,-999.000000,-999.000000,0.063966,0.062405,0.280195,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001213,0.000920,0.001023,-999.000000,-999.000000,0.000720,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000450,-999.000000,-999.000000,0.000578,-999.000000,-999.000000,0.000168,0.001549,0.000348,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.236203,0.374011,1.174812,1.455347,0.436780,-999.000000,lev10,17,Waskesiu,53.914386,-106.069578,569.000000,82.661855,7.410288,-10.900000,353.614121,0.084100,09:01:2020,9,1.637100,1.019800,0.870500,-999.,-999.,0.674800,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439600,-999.,-999.,0.379800,0.340900,0.941200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
05:01:2020,16:48:51,5,5.700590,0.010267,0.020809,0.025905,-999.000000,-999.000000,0.035442,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.057939,-999.000000,-999.000000,0.056057,-999.000000,-999.000000,0.063206,0.059539,0.277119,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000927,0.001395,0.000849,-999.000000,-999.000000,0.000400,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000764,-999.000000,-999.000000,0.000387,-999.000000,-999.000000,0.000849,0.002480,0.001700,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.233655,0.328168,1.170584,1.456725,0.270358,-999.000000,lev10,17,Waskesiu,53.914386,-106.069578,569.000000,82.205913,7.019924,-10.800000,353.616222,0.084100,09:01:2020,9,1.637100,1.019800,0.870500,-999.,-999.,0.674800,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439600,-999.,-999.,0.379800,0.340900,0.941200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
05:01:2020,16:54:52,5,5.704769,0.011000,0.022397,0.027639,-999.000000,-999.000000,0.037113,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.060983,-999.000000,-999.000000,0.057908,-999.000000,-999.000000,0.065315,0.062425,0.278065,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001125,0.001956,0.001585,-999.000000,-999.000000,0.001202,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001672,-999.000000,-999.000000,0.000915,-999.000000,-999.000000,0.001395,0.001772,0.001339,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.197302,0.262830,1.147527,1.433462,0.325504,-999.000000,lev10,17,Waskesiu,53.914386,-106.069578,569.000000,81.744743,6.663753,-10.800000,353.618420,0.084100,09:01:2020,9,1.637100,1.019800,0.870500,-999.,-999.,0.674800,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439600,-999.,-999.,0.379800,0.340900,0.941200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
05:01:2020,16:57:51,5,5.706840,0.010815,0.021806,0.026983,-999.000000,-999.000000,0.036414,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.059544,-999.000000,-999.000000,0.056623,-999.000000,-999.000000,0.063384,0.060664,0.277282,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000685,0.001037,0.000865,-999.000000,-999.000000,0.000766,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001211,-999.000000,-999.000000,0.000873,-999.000000,-999.000000,0.000887,0.000616,0.003943,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.197049,0.239847,1.138091,1.433258,0.299692,-999.000000,lev10,17,Waskesiu,53.914386,-106.069578,569.000000,81.522263,6.504234,-10.600000,353.619510,0.084101,09:01:2020,9,1.637100,1.019800,0.870500,-999.,-999.,0.674800,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439600,-999.,-999.,0.379800,0.340900,0.941200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
