AERONET Version 3; 
Waskesiu
Version 3: AOD Level 1.5
The following data are cloud cleared and quality controls have been applied but these data may not have final calibration applied.  These data may change.
Contact: PI=Ihab_Abboud_and_Vitali_Fioletov; PI Email=ihab.abboud@canada.ca_and_vitali.fioletov@canada.ca
All Points,UNITS can be found at,,, https://aeronet.gsfc.nasa.gov/new_web/units.html
Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,Triplet_Variability_1640,Triplet_Variability_1020,Triplet_Variability_870,Triplet_Variability_865,Triplet_Variability_779,Triplet_Variability_675,Triplet_Variability_667,Triplet_Variability_620,Triplet_Variability_560,Triplet_Variability_555,Triplet_Variability_551,Triplet_Variability_532,Triplet_Variability_531,Triplet_Variability_510,Triplet_Variability_500,Triplet_Variability_490,Triplet_Variability_443,Triplet_Variability_440,Triplet_Variability_412,Triplet_Variability_400,Triplet_Variability_380,Triplet_Variability_340,Triplet_Variability_Precipitable_Water(cm),Triplet_Variability_681,Triplet_Variability_709,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),Solar_Zenith_Angle(Degrees),Optical_Air_Mass,Sensor_Temperature(Degrees_C),Ozone(Dobson),NO2(Dobson),Last_Date_Processed,Number_of_Wavelengths,Exact_Wavelengths_of_AOD(um)_1640nm,Exact_Wavelengths_of_AOD(um)_1020nm,Exact_Wavelengths_of_AOD(um)_870nm,Exact_Wavelengths_of_AOD(um)_865nm,Exact_Wavelengths_of_AOD(um)_779nm,Exact_Wavelengths_of_AOD(um)_675nm,Exact_Wavelengths_of_AOD(um)_667nm,Exact_Wavelengths_of_AOD(um)_620nm,Exact_Wavelengths_of_AOD(um)_560nm,Exact_Wavelengths_of_AOD(um)_555nm,Exact_Wavelengths_of_AOD(um)_551nm,Exact_Wavelengths_of_AOD(um)_532nm,Exact_Wavelengths_of_AOD(um)_531nm,Exact_Wavelengths_of_AOD(um)_510nm,Exact_Wavelengths_of_AOD(um)_500nm,Exact_Wavelengths_of_AOD(um)_490nm,Exact_Wavelengths_of_AOD(um)_443nm,Exact_Wavelengths_of_AOD(um)_440nm,Exact_Wavelengths_of_AOD(um)_412nm,Exact_Wavelengths_of_AOD(um)_400nm,Exact_Wavelengths_of_AOD(um)_380nm,Exact_Wavelengths_of_AOD(um)_340nm,Exact_Wavelengths_of_PW(um)_935nm,Exact_Wavelengths_of_AOD(um)_681nm,Exact_Wavelengths_of_AOD(um)_709nm,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty
10:01:2020,17:42:26,10,10.737801,-999.000000,0.027025,0.033997,-999.000000,-999.000000,0.046730,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.075734,-999.000000,-999.000000,0.069945,-999.000000,-999.000000,0.074921,0.074009,0.173688,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.002756,0.003241,-999.000000,-999.000000,0.002503,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.003492,-999.000000,-999.000000,0.002266,-999.000000,-999.000000,0.002916,0.004147,0.005565,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.173690,-0.027709,1.059587,1.448908,0.236292,-999.000000,lev15,17,Waskesiu,53.914386,-106.069578,569.000000,78.200370,4.784558,-21.800000,356.266542,0.084588,14:01:2020,8,-999.,1.019800,0.870500,-999.,-999.,0.674800,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439600,-999.,-999.,0.379800,0.340900,0.941200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
10:01:2020,17:48:51,10,10.742257,0.033110,0.026905,0.033946,-999.000000,-999.000000,0.046463,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.076044,-999.000000,-999.000000,0.069781,-999.000000,-999.000000,0.074483,0.073409,0.174414,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001996,0.002828,0.002842,-999.000000,-999.000000,0.002336,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.003031,-999.000000,-999.000000,0.001905,-999.000000,-999.000000,0.002750,0.003084,0.004641,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.178149,-0.063596,1.071896,1.459675,0.213464,-999.000000,lev15,17,Waskesiu,53.914386,-106.069578,569.000000,77.873409,4.662951,-20.700000,356.268886,0.084588,14:01:2020,9,1.637100,1.019800,0.870500,-999.,-999.,0.674800,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439600,-999.,-999.,0.379800,0.340900,0.941200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
10:01:2020,17:54:51,10,10.746424,-999.000000,0.026663,0.033615,-999.000000,-999.000000,0.046529,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.075657,-999.000000,-999.000000,0.069704,-999.000000,-999.000000,0.074543,0.072667,0.174865,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001482,0.001657,-999.000000,-999.000000,0.001189,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001215,-999.000000,-999.000000,0.000641,-999.000000,-999.000000,0.001024,0.001197,0.001565,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.185998,-0.042281,1.063182,1.467230,0.180596,-999.000000,lev15,17,Waskesiu,53.914386,-106.069578,569.000000,77.588341,4.561874,-19.700000,356.271079,0.084588,14:01:2020,8,-999.,1.019800,0.870500,-999.,-999.,0.674800,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439600,-999.,-999.,0.379800,0.340900,0.941200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
10:01:2020,18:04:16,10,10.752963,0.030589,0.029262,0.035677,-999.000000,-999.000000,0.048056,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.079020,-999.000000,-999.000000,0.071241,-999.000000,-999.000000,0.075869,0.075247,0.174843,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.002738,0.000994,0.001113,-999.000000,-999.000000,0.000719,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000852,-999.000000,-999.000000,0.000756,-999.000000,-999.000000,0.001852,0.001830,0.000710,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.145684,-0.134889,1.049677,1.440251,0.227496,-999.000000,lev15,17,Waskesiu,53.914386,-106.069578,569.000000,77.181870,4.425135,-18.200000,356.274519,0.084589,14:01:2020,9,1.637100,1.019800,0.870500,-999.,-999.,0.674800,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439600,-999.,-999.,0.379800,0.340900,0.941200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
10:01:2020,18:07:18,10,10.755069,0.032468,0.028113,0.034422,-999.000000,-999.000000,0.047086,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.077473,-999.000000,-999.000000,0.070588,-999.000000,-999.000000,0.074940,0.073968,0.177056,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.006162,0.003278,0.003305,-999.000000,-999.000000,0.003134,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.004176,-999.000000,-999.000000,0.003227,-999.000000,-999.000000,0.003119,0.004950,0.007531,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.178734,-0.108890,1.071532,1.468365,0.196808,-999.000000,lev15,17,Waskesiu,53.914386,-106.069578,569.000000,77.061719,4.386281,-18.000000,356.275628,0.084589,14:01:2020,9,1.637100,1.019800,0.870500,-999.,-999.,0.674800,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439600,-999.,-999.,0.379800,0.340900,0.941200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
10:01:2020,18:10:22,10,10.757199,-999.000000,0.028497,0.035273,-999.000000,-999.000000,0.047543,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.077244,-999.000000,-999.000000,0.070897,-999.000000,-999.000000,0.076263,0.074191,0.175058,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000814,0.000803,-999.000000,-999.000000,0.001048,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000365,-999.000000,-999.000000,0.000064,-999.000000,-999.000000,0.001293,0.000014,0.001762,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.145287,-0.034087,1.053877,1.419202,0.196932,-999.000000,lev15,17,Waskesiu,53.914386,-106.069578,569.000000,76.945641,4.349393,-17.600000,356.276748,0.084589,14:01:2020,8,-999.,1.019800,0.870500,-999.,-999.,0.674800,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439600,-999.,-999.,0.379800,0.340900,0.941200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
10:01:2020,18:12:30,10,10.758681,-999.000000,0.027489,0.034051,-999.000000,-999.000000,0.046402,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.075883,-999.000000,-999.000000,0.069218,-999.000000,-999.000000,0.074412,0.071556,0.177019,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001578,0.001392,-999.000000,-999.000000,0.001320,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000629,-999.000000,-999.000000,0.002161,-999.000000,-999.000000,0.002791,0.001398,0.004286,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.164355,-0.058334,1.058348,1.450479,0.151460,-999.000000,lev15,17,Waskesiu,53.914386,-106.069578,569.000000,76.868106,4.325099,-17.400000,356.277528,0.084590,14:01:2020,8,-999.,1.019800,0.870500,-999.,-999.,0.674800,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439600,-999.,-999.,0.379800,0.340900,0.941200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
10:01:2020,18:37:32,10,10.776065,0.035690,0.026536,0.033314,-999.000000,-999.000000,0.044986,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.074728,-999.000000,-999.000000,0.066601,-999.000000,-999.000000,0.070944,0.068826,0.176761,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.008286,0.002563,0.001970,-999.000000,-999.000000,0.001560,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.003382,-999.000000,-999.000000,0.001751,-999.000000,-999.000000,0.001296,0.002453,0.003276,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.154089,-0.174970,1.053138,1.463455,0.146525,-999.000000,lev15,17,Waskesiu,53.914386,-106.069578,569.000000,76.158437,4.114859,-17.300000,356.286674,0.084591,14:01:2020,9,1.637100,1.019800,0.870500,-999.,-999.,0.674800,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439600,-999.,-999.,0.379800,0.340900,0.941200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
10:01:2020,18:39:52,10,10.777685,-999.000000,0.024742,0.031243,-999.000000,-999.000000,0.043355,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.072443,-999.000000,-999.000000,0.064479,-999.000000,-999.000000,0.068276,0.065808,0.177949,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001013,0.001035,-999.000000,-999.000000,0.000876,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001398,-999.000000,-999.000000,0.001158,-999.000000,-999.000000,0.000679,0.001150,0.001681,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.198876,-0.201790,1.065346,1.521994,0.097973,-999.000000,lev15,17,Waskesiu,53.914386,-106.069578,569.000000,76.111329,4.101633,-17.300000,356.287527,0.084591,14:01:2020,8,-999.,1.019800,0.870500,-999.,-999.,0.674800,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439600,-999.,-999.,0.379800,0.340900,0.941200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
10:01:2020,18:42:31,10,10.779525,0.033725,0.026213,0.032535,-999.000000,-999.000000,0.044414,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.074127,-999.000000,-999.000000,0.065395,-999.000000,-999.000000,0.068988,0.066842,0.177746,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.005674,0.004477,0.004048,-999.000000,-999.000000,0.003711,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.005311,-999.000000,-999.000000,0.003330,-999.000000,-999.000000,0.003622,0.004834,0.007059,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.165456,-0.247213,1.045391,1.491184,0.102042,-999.000000,lev15,17,Waskesiu,53.914386,-106.069578,569.000000,76.061807,4.087822,-17.300000,356.288495,0.084592,14:01:2020,9,1.637100,1.019800,0.870500,-999.,-999.,0.674800,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439600,-999.,-999.,0.379800,0.340900,0.941200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
